Weekday,Start Time,End Time,Role,Event Name,Event Abbreviation,Event Type,Event Description
Sunday,4:45 PM,6:00 PM,AC 1,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,AC 2,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,AC 3,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,AC 4,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,AC 5,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,AC 6,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,AC 7,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,AC 8,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,AC 9,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,AC 10,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,CN A,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,CN B,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,CN C,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,CN D,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,CN E,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,CN F,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,CN G,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,CN H,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,CN I,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,4:45 PM,6:00 PM,CN J,Staff Dinner,ND,free,A non-mandatory dinner for all staff.
Sunday,6:00 PM,6:45 PM,AC 1,SC/AC/WC Meeting,ME,meeting,"A meeting for the core leadership team to get organized, go over session and campus specific details, and set goals."
Sunday,6:00 PM,6:45 PM,AC 2,SC/AC/WC Meeting,ME,meeting,"A meeting for the core leadership team to get organized, go over session and campus specific details, and set goals."
Sunday,6:00 PM,6:45 PM,AC 3,SC/AC/WC Meeting,ME,meeting,"A meeting for the core leadership team to get organized, go over session and campus specific details, and set goals."
